SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-24 21:11:37
Date and Time Ended,2018-Jan-24 21:12:07
Scan Name,MSP_C_FPGA-TX4-07--RX8-07-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,10263
Horizontal Opening,46
Horizontal Percentage,70.77
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.260225,0.250977,0.241292,0.223455,0.198687,0.167284,0.131808,0.0973948,0.0638096,0.0351251,0.0149601,0.00542668,0.00111391,0.00019913,2.38422e-05,1.90738e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.5259e-06,4.00549e-06,2.70848e-05,0.000135996,0.000473602,0.00153449,0.00506275,0.0121498,0.0249661,0.0453994,0.0706135,0.101072,0.135627,0.167284,0.193524,0.217869,0.234926,0.246372
126,0.259895,0.249524,0.24009,0.222848,0.198207,0.165693,0.130216,0.093922,0.0616255,0.0343029,0.0143957,0.00514706,0.00104181,0.000168994,1.8883e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,4.2916e-06,1.9646e-05,0.000104715,0.000430686,0.00134222,0.00452659,0.011519,0.0235602,0.0432038,0.0672347,0.0991033,0.133767,0.162925,0.193114,0.216831,0.234791,0.245266
125,0.260142,0.250286,0.24002,0.222303,0.196542,0.165292,0.129721,0.0936107,0.0617742,0.0338661,0.0142952,0.0048003,0.00104486,0.000161555,1.6022e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.81201e-06,1.44961e-05,9.55596e-05,0.000426108,0.00120012,0.00437438,0.011433,0.023366,0.0420441,0.0664116,0.0996457,0.132598,0.164166,0.193891,0.215349,0.234523,0.245781
124,0.260142,0.25021,0.239109,0.222545,0.194998,0.161607,0.127104,0.0917343,0.0592669,0.0316276,0.0132662,0.00473182,0.00092813,0.000144198,1.65942e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.81201e-06,1.37331e-05,7.30526e-05,0.000546273,0.0011635,0.00380179,0.0112755,0.0217331,0.0397857,0.0652791,0.0967392,0.130714,0.161767,0.191042,0.215576,0.23372,0.245119
123,0.261721,0.250746,0.239879,0.220034,0.195463,0.162731,0.126652,0.090209,0.0594002,0.0309127,0.0132505,0.00440566,0.000897421,0.000138094,1.33516e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,1.62127e-06,9.34615e-06,7.17174e-05,0.000305943,0.00102636,0.00400072,0.0100681,0.0198207,0.038907,0.0630532,0.0936214,0.127818,0.159096,0.190597,0.215803,0.23352,0.244972
122,0.261221,0.249905,0.238205,0.218917,0.192841,0.160123,0.1248,0.0888008,0.056987,0.0298385,0.0124912,0.00413577,0.000822843,0.000117876,1.14443e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,8.77394e-06,4.92103e-05,0.000261501,0.000917639,0.0033959,0.00927272,0.0195748,0.0378605,0.0627393,0.0925531,0.127401,0.158267,0.188579,0.214391,0.232988,0.244096
121,0.260971,0.250746,0.238691,0.21921,0.190553,0.160311,0.122688,0.0879995,0.0563441,0.0293048,0.0121435,0.00387407,0.000732052,0.000125124,1.01091e-05,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,6.67582e-07,9.72763e-06,4.67308e-05,0.00020428,0.000895895,0.00313573,0.00871729,0.0184839,0.0367382,0.0603364,0.0898725,0.126145,0.158053,0.188753,0.213999,0.233055,0.244242
120,0.260639,0.250516,0.238136,0.217811,0.190199,0.158328,0.123205,0.0869995,0.0533395,0.0277202,0.0112221,0.00343118,0.000685512,9.86114e-05,9.15541e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.04906e-06,8.77394e-06,3.37606e-05,0.00017834,0.000790227,0.00289216,0.00817597,0.0178796,0.0364732,0.0584508,0.089715,0.122743,0.156363,0.186179,0.211622,0.233055,0.244899
119,0.262308,0.25021,0.237514,0.216087,0.189802,0.154476,0.122615,0.085698,0.0527929,0.0274223,0.0112877,0.00328622,0.000621805,0.000107195,6.29435e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,6.10361e-06,3.75753e-05,0.000172045,0.000671969,0.00273022,0.00729076,0.0168971,0.0345722,0.0568367,0.0876605,0.121038,0.153262,0.18601,0.21195,0.230627,0.244315
118,0.263235,0.250669,0.237721,0.215236,0.189189,0.155385,0.119957,0.083693,0.0518769,0.0268665,0.010527,0.00306783,0.000582132,8.06821e-05,6.29435e-06,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.81476e-06,2.21256e-05,0.000149538,0.000616655,0.00225223,0.00677996,0.0161051,0.0330118,0.0553468,0.0858687,0.117954,0.152096,0.183716,0.210968,0.231409,0.24301
