SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 21:48:28
Date and Time Ended,2018-Jan-24 21:48:57
Scan Name,MSP_C_FPGA-TX4-11--RX1-11-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,6935
Horizontal Opening,37
Horizontal Percentage,56.92
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.2496,0.247489,0.244972,0.237171,0.226922,0.212555,0.19692,0.182854,0.156872,0.131957,0.111393,0.093153,0.0721116,0.0534718,0.0393689,0.028281,0.0183247,0.0106338,0.00541476,0.00257162,0.000864996,0.000262646,5.44556e-05,5.72213e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-06,6.48508e-06,5.28344e-05,0.00026627,0.000860609,0.00248045,0.00575761,0.012044,0.0222666,0.0351432,0.0549716,0.076531,0.104863,0.128803,0.165292,0.184502,0.20449,0.2273,0.236623,0.245413,0.247638,0.249905,0.250669
126,0.250057,0.247938,0.24265,0.237033,0.229336,0.215236,0.197205,0.173336,0.15031,0.129495,0.108935,0.0865949,0.0700519,0.052151,0.037246,0.0259796,0.0168294,0.00898508,0.00439088,0.00208333,0.000679313,0.000184539,3.73846e-05,5.14992e-06,3.81476e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,6.86656e-06,4.27253e-05,0.000217727,0.000840009,0.00230783,0.00544423,0.011559,0.0209554,0.0339433,0.0541504,0.0757385,0.101435,0.130902,0.158328,0.189364,0.208127,0.22592,0.234321,0.245119,0.24854,0.248842,0.250823
125,0.248389,0.246298,0.242938,0.236213,0.224312,0.20994,0.19122,0.175265,0.149269,0.130735,0.104275,0.0893139,0.0657559,0.0495396,0.0361864,0.0248434,0.0157089,0.00858237,0.00410382,0.00201305,0.000603304,0.000164988,3.22347e-05,4.76844e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,7.24804e-06,3.86244e-05,0.00019789,0.000809777,0.00218652,0.00518006,0.0110195,0.020818,0.0334171,0.0530768,0.0773256,0.102169,0.129783,0.161639,0.185757,0.206553,0.221642,0.239529,0.244096,0.248389,0.249296,0.250669
124,0.248389,0.247638,0.243371,0.236486,0.225547,0.206448,0.188146,0.168004,0.145092,0.12183,0.101259,0.0806446,0.0626099,0.0468911,0.0337003,0.0236855,0.0139195,0.00797651,0.00351091,0.00160544,0.000463588,0.000107671,2.41283e-05,2.57496e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,8.01099e-06,3.16625e-05,0.000195411,0.000753891,0.00203737,0.00524681,0.0105291,0.0199938,0.031875,0.0514759,0.0731548,0.100391,0.12756,0.158022,0.183757,0.208445,0.224928,0.237859,0.243227,0.247788,0.2496,0.251285
123,0.2496,0.24615,0.240937,0.232988,0.224312,0.208551,0.189276,0.166977,0.148189,0.123894,0.0990074,0.078647,0.0629273,0.045934,0.0328016,0.0223115,0.013481,0.00710496,0.00322442,0.00144093,0.000370413,9.45106e-05,1.66896e-05,2.09812e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,5.8175e-06,3.26162e-05,0.000170615,0.000729477,0.00206598,0.00494726,0.010151,0.0196703,0.0312572,0.0512569,0.0733251,0.103224,0.129741,0.158267,0.183428,0.203272,0.225175,0.23635,0.243082,0.247938,0.249905,0.251748
122,0.249145,0.245707,0.240937,0.234187,0.22033,0.202169,0.190332,0.166977,0.141826,0.117971,0.0978485,0.0784212,0.0591984,0.0435553,0.030478,0.0202318,0.012316,0.0063384,0.00279364,0.00114767,0.000319295,9.35569e-05,1.38285e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.38697e-06,3.13764e-05,0.000139143,0.000666342,0.00185855,0.00467222,0.00963342,0.0188129,0.0306651,0.0496056,0.0704617,0.0963297,0.12848,0.153463,0.180597,0.206448,0.222122,0.236623,0.243806,0.247788,0.249905,0.250669
121,0.248691,0.246595,0.239389,0.232988,0.219857,0.202669,0.181799,0.158757,0.142616,0.120045,0.0947695,0.0764881,0.0559478,0.0419193,0.0299454,0.0198063,0.0113172,0.00587186,0.00250992,0.00111486,0.000264458,7.50553e-05,9.72763e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,5.34066e-06,2.8706e-05,0.000146487,0.000633345,0.00185454,0.00454423,0.00946294,0.0183584,0.0300267,0.0492596,0.0702683,0.0934079,0.122854,0.151645,0.178784,0.203071,0.226545,0.232724,0.243516,0.246892,0.248842,0.251439
120,0.247938,0.244242,0.237583,0.229207,0.220686,0.199802,0.177544,0.161384,0.134912,0.116793,0.0919196,0.0722642,0.0547512,0.0397934,0.0279072,0.018167,0.0103734,0.0053644,0.00214351,0.000820268,0.000229648,4.86381e-05,1.05859e-05,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,4.86381e-06,3.04227e-05,0.000125601,0.000604543,0.00179503,0.0044049,0.00898764,0.0180908,0.0298559,0.0474671,0.0687815,0.0917754,0.121976,0.158022,0.179725,0.20177,0.218217,0.233254,0.24265,0.246743,0.248993,0.252058
119,0.248389,0.245119,0.238136,0.229851,0.215689,0.197776,0.177007,0.159375,0.13509,0.112156,0.0909602,0.0708885,0.0521842,0.0383371,0.0270323,0.0168592,0.0099879,0.00476358,0.00208286,0.000888457,0.000191691,4.50141e-05,3.91012e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.48234e-06,2.11719e-05,0.000116827,0.000568399,0.00178616,0.00408484,0.00867986,0.0175018,0.0282595,0.047096,0.0674228,0.09466,0.118551,0.153005,0.178394,0.200486,0.214111,0.23635,0.243227,0.247489,0.248993,0.252058
118,0.248239,0.244242,0.237859,0.225299,0.213664,0.197585,0.174369,0.151142,0.13166,0.106195,0.0883888,0.0671796,0.0486222,0.0363018,0.0251038,0.0159835,0.00882213,0.00443608,0.00193227,0.000689612,0.000151064,3.08995e-05,4.10086e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.33791e-06,2.17441e-05,0.000110533,0.000497539,0.00160239,0.00397326,0.00841539,0.0173549,0.0279319,0.044887,0.0677462,0.0928995,0.124648,0.144989,0.181076,0.196072,0.221402,0.233254,0.241506,0.247489,0.249905,0.252058
117,0.247041,0.240937,0.233653,0.227932,0.215123,0.190509,0.171522,0.14686,0.127085,0.102732,0.0850662,0.0626482,0.0471448,0.0334909,0.0225113,0.014396,0.00787756,0.00360151,0.00160811,0.000559529,0.000117113,2.05043e-05,4.00549e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.28885e-06,2.46052e-05,9.53689e-05,0.000459392,0.00152466,0.00382038,0.00807161,0.0159387,0.0271111,0.0434767,0.0638195,0.0899021,0.119764,0.14835,0.175565,0.197871,0.2188,0.23392,0.238691,0.246743,0.249905,0.251439
116,0.247041,0.244242,0.236896,0.225671,0.212997,0.189364,0.171522,0.147442,0.12522,0.102245,0.0792558,0.0620033,0.045821,0.0323253,0.0208339,0.0132817,0.00705989,0.00326638,0.00141308,0.000446231,9.34615e-05,1.63081e-05,1.43053e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.0518e-06,1.64988e-05,9.03143e-05,0.000393683,0.00140574,0.00348869,0.00771755,0.0159437,0.0257898,0.0435738,0.0632577,0.0883316,0.115967,0.144989,0.169324,0.198543,0.213887,0.234724,0.24265,0.246446,0.2496,0.253148
115,0.247041,0.24222,0.234054,0.224681,0.207389,0.19042,0.166231,0.14402,0.120753,0.0998766,0.0784362,0.0596206,0.0422001,0.0304599,0.0200349,0.0121505,0.00613489,0.00264487,0.00104419,0.00035687,7.1622e-05,7.24804e-06,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-06,1.56405e-05,8.78347e-05,0.000403601,0.00132153,0.00334649,0.0075869,0.0145097,0.0252711,0.0414443,0.0612248,0.0869441,0.111424,0.146231,0.176397,0.196448,0.219621,0.233254,0.241934,0.246446,0.248691,0.252992
114,0.24468,0.240372,0.230887,0.220567,0.204592,0.18601,0.164694,0.141728,0.11893,0.0972214,0.076246,0.0569751,0.0424934,0.0291692,0.0186459,0.0111969,0.005762,0.00243019,0.000974002,0.00028439,5.65537e-05,9.06004e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-06,1.49729e-05,7.29572e-05,0.00034123,0.00124762,0.00314679,0.00735185,0.0143035,0.0239472,0.0406787,0.060093,0.0845395,0.114732,0.143065,0.166569,0.192569,0.212445,0.229593,0.239809,0.245855,0.249905,0.253461
