SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 22:03:43
Date and Time Ended,2018-Jan-24 22:04:13
Scan Name,MSP_A_FPGA-TX1-04--RX13-04-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,6454
Horizontal Opening,32
Horizontal Percentage,49.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250823,0.249448,0.249752,0.249145,0.249145,0.248993,0.246298,0.243082,0.233121,0.222122,0.20994,0.191578,0.17693,0.152948,0.144071,0.10017,0.0780625,0.0709253,0.0502507,0.0293468,0.0182066,0.00773008,0.00332961,0.00110962,0.000267033,6.35157e-05,5.24529e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.62127e-06,3.10903e-05,0.000157263,0.000524529,0.00220226,0.00700005,0.0191488,0.0279624,0.0494082,0.0728685,0.0894309,0.124345,0.144478,0.168974,0.182773,0.199219,0.209083,0.222848,0.231933,0.239529,0.245266,0.247489,0.248842,0.2496
126,0.249752,0.250977,0.250057,0.249905,0.249448,0.24854,0.246298,0.239809,0.22844,0.222122,0.205002,0.193205,0.173704,0.153234,0.137494,0.103407,0.0746208,0.0683112,0.047766,0.030115,0.0192668,0.00888432,0.00302348,0.00047179,0.000128843,2.18395e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,2.59403e-05,0.000120832,0.000922789,0.0028954,0.0058937,0.0126336,0.0273044,0.0500787,0.062879,0.0917343,0.121433,0.147019,0.167249,0.185841,0.198447,0.210805,0.224558,0.230887,0.239669,0.244534,0.248088,0.249448,0.249905
125,0.249752,0.250057,0.249448,0.248691,0.248691,0.246595,0.24556,0.239949,0.232328,0.216831,0.20531,0.184835,0.168004,0.154156,0.135987,0.100736,0.0821982,0.0609333,0.046688,0.0289486,0.011663,0.00607242,0.00250191,0.000726329,0.00014229,2.08858e-05,2.57496e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.00275e-06,1.11582e-05,0.000145533,0.000494583,0.00167754,0.00635758,0.013084,0.0301638,0.0472863,0.0621821,0.09375,0.121289,0.143768,0.165962,0.1802,0.195604,0.208127,0.221642,0.231802,0.238136,0.243082,0.246892,0.248691,0.250057
124,0.251748,0.249905,0.250057,0.248842,0.24854,0.247489,0.243806,0.237171,0.22844,0.215803,0.203575,0.18542,0.166434,0.152209,0.126223,0.0993677,0.0815274,0.0524649,0.0417782,0.0226483,0.0124398,0.00588874,0.00188382,0.000352102,9.2031e-05,1.15396e-05,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,1.90738e-05,8.70718e-05,0.000806058,0.00178073,0.00495394,0.0167544,0.0282986,0.0417654,0.0604566,0.0960586,0.111545,0.141826,0.164429,0.17855,0.197967,0.208127,0.220805,0.231278,0.239949,0.243516,0.247339,0.248239,0.249448
123,0.250977,0.25021,0.250057,0.2496,0.248842,0.247938,0.244242,0.237446,0.225175,0.213887,0.198639,0.178784,0.167318,0.148242,0.118311,0.0891002,0.0748937,0.0481252,0.0365382,0.0190642,0.010305,0.00384365,0.00140469,0.000242046,6.67582e-05,6.29435e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,8.86931e-06,9.42245e-05,0.000440986,0.00201696,0.00572681,0.0153188,0.025147,0.036212,0.0634931,0.091468,0.110224,0.137725,0.157657,0.177544,0.195697,0.210372,0.220449,0.230238,0.238274,0.242794,0.246298,0.248239,0.249448
122,0.250977,0.248993,0.250516,0.250057,0.2496,0.246298,0.242794,0.231933,0.222605,0.212776,0.19692,0.180279,0.159935,0.140368,0.113934,0.0941162,0.0717076,0.04992,0.0370505,0.0190261,0.00848688,0.00448234,0.00116016,0.00027924,5.98917e-05,8.39246e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,7.72488e-06,8.27802e-05,0.000626574,0.00141861,0.0048682,0.0103347,0.0225398,0.0335183,0.0658617,0.0831831,0.103668,0.132899,0.155739,0.17693,0.194397,0.207284,0.219386,0.230368,0.237033,0.244242,0.24556,0.248389,0.249752
121,0.251439,0.2496,0.249448,0.248842,0.249448,0.245266,0.239809,0.231933,0.221762,0.205105,0.191488,0.183674,0.159686,0.136395,0.102784,0.0864487,0.0641996,0.0466401,0.0352672,0.019791,0.00873316,0.00390908,0.000961986,0.000149729,3.28069e-05,3.24254e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.03952e-05,8.402e-05,0.000423438,0.00188287,0.00433204,0.0123834,0.0220034,0.0360685,0.0628019,0.081886,0.111272,0.134073,0.155326,0.174369,0.193114,0.203879,0.215576,0.229593,0.234859,0.242507,0.245707,0.248088,0.249145
120,0.251593,0.250057,0.25021,0.249448,0.248691,0.244534,0.239669,0.228696,0.222002,0.204592,0.189802,0.17855,0.155503,0.130195,0.104355,0.085707,0.0593098,0.0532216,0.0279281,0.0147591,0.00556239,0.00197995,0.000565919,9.28893e-05,1.58312e-05,2.95644e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,7.91562e-06,7.82979e-05,0.000426967,0.00136807,0.00475538,0.0149826,0.0229182,0.0385174,0.0591044,0.075921,0.106832,0.130236,0.161959,0.169674,0.192388,0.206241,0.215803,0.22844,0.23567,0.242507,0.245413,0.248088,0.248389
119,0.252368,0.250057,0.2496,0.249145,0.248842,0.244388,0.238274,0.228951,0.221282,0.202169,0.19357,0.178317,0.153119,0.132426,0.107139,0.0789046,0.0563248,0.0510652,0.0259598,0.0131204,0.00648769,0.00300669,0.000746643,0.000122644,1.68803e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,5.91287e-06,5.36927e-05,0.000488956,0.00145485,0.00362621,0.0107159,0.0223834,0.0406908,0.0575676,0.0736547,0.10592,0.132856,0.154505,0.174073,0.192841,0.202468,0.217176,0.225052,0.237171,0.241791,0.246002,0.24854,0.248691
118,0.250823,0.25021,0.249752,0.248842,0.246595,0.24222,0.237859,0.228186,0.220212,0.198832,0.185253,0.179018,0.152152,0.114188,0.101914,0.0768324,0.0620597,0.0406787,0.0254722,0.0129762,0.00538748,0.00150092,0.000312142,4.22484e-05,5.72213e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,6.19898e-06,5.96056e-05,0.000227932,0.00124886,0.00365682,0.00912723,0.0192225,0.0394523,0.0554855,0.0713081,0.108992,0.130485,0.157536,0.174816,0.191937,0.202569,0.21501,0.225052,0.236077,0.23883,0.246002,0.247938,0.248842
