SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 17:38:02
Date and Time Ended,2018-Jan-24 17:38:38
Scan Name,MSP_A_FPGA-TX1-06--RX13-06-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,10339
Horizontal Opening,46
Horizontal Percentage,70.77
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250823,0.249448,0.2496,0.248993,0.24468,0.232064,0.211022,0.174891,0.143415,0.106693,0.0755847,0.0419795,0.0186077,0.00422923,0.000778305,5.75074e-05,2.38422e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.38422e-06,6.27527e-05,0.000765717,0.0041309,0.0143737,0.035383,0.0602876,0.090518,0.124572,0.15845,0.185673,0.213999,0.233121,0.243661,0.24719,0.249752
126,0.250057,0.250516,0.250057,0.249145,0.243516,0.235399,0.206241,0.169184,0.137263,0.102194,0.0683568,0.0381266,0.0141576,0.00323253,0.000474365,3.748e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-06,5.49325e-05,0.000650416,0.00388743,0.0142398,0.0326917,0.0578522,0.0910006,0.126379,0.156573,0.189014,0.214111,0.232328,0.243227,0.248842,0.250057
125,0.249145,0.250057,0.250516,0.249296,0.243371,0.22642,0.199607,0.165159,0.132469,0.0959011,0.0664493,0.0341527,0.0133344,0.00287375,0.00037604,2.29839e-05,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.00275e-06,4.45373e-05,0.000597772,0.00352255,0.0128552,0.0296206,0.0589174,0.0857608,0.119276,0.158144,0.186603,0.214447,0.233254,0.24265,0.248088,0.249905
124,0.250363,0.250363,0.2496,0.248993,0.24222,0.222122,0.194397,0.161384,0.127719,0.0956548,0.0654199,0.030435,0.0117097,0.00209678,0.000266175,1.44007e-05,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,3.87198e-05,0.000492103,0.00338865,0.0117879,0.0314492,0.0575353,0.0851546,0.125527,0.154914,0.189979,0.212887,0.231409,0.242077,0.247638,0.250057
123,0.249752,0.249448,0.249752,0.24854,0.240513,0.221282,0.191488,0.157354,0.126574,0.0940514,0.0578441,0.0269878,0.00909703,0.00180648,0.000203803,8.48783e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,3.81476e-05,0.000508698,0.0031322,0.011679,0.0289466,0.0544673,0.0822643,0.115249,0.154156,0.186433,0.209083,0.233387,0.242507,0.247788,0.248691
122,0.249752,0.249145,0.249145,0.248842,0.240372,0.218334,0.192207,0.155385,0.123782,0.0884461,0.0527012,0.0256012,0.00858795,0.00116379,0.000127508,8.20172e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.01366e-05,0.000398642,0.00305495,0.0111825,0.0264459,0.0541504,0.0813009,0.112279,0.149651,0.185925,0.208763,0.230887,0.241506,0.247788,0.249448
121,0.250669,0.249448,0.250669,0.247788,0.238413,0.215349,0.1831,0.14987,0.11454,0.0849427,0.0507111,0.0233427,0.00690249,0.00117809,8.91699e-05,3.91012e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,2.53681e-05,0.000406271,0.00286994,0.0100042,0.0268868,0.0527895,0.0809954,0.113492,0.152492,0.182691,0.207599,0.229722,0.241363,0.24719,0.249145
120,0.250363,0.25021,0.249448,0.248691,0.23883,0.221163,0.181961,0.151142,0.111121,0.0849075,0.0457187,0.018708,0.00614605,0.000745594,7.12406e-05,3.14717e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.87877e-05,0.00031548,0.00248302,0.0098919,0.0258631,0.0515212,0.0770782,0.112033,0.144938,0.177313,0.207284,0.227173,0.243082,0.248088,0.250057
119,0.250363,0.249296,0.249905,0.24719,0.235805,0.209404,0.183839,0.146493,0.110195,0.0767604,0.0430653,0.0165546,0.00489557,0.000655756,4.61585e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,2.08858e-05,0.000312715,0.00234913,0.00940255,0.0240952,0.0489652,0.0760196,0.108358,0.148673,0.176701,0.212005,0.226922,0.240796,0.24719,0.248842
118,0.250516,0.249448,0.250057,0.24719,0.233254,0.210805,0.176701,0.140224,0.106999,0.0717704,0.0414736,0.0147204,0.00419375,0.000435836,4.01503e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.81201e-05,0.00028687,0.00212205,0.00851759,0.0224521,0.0460476,0.0732857,0.107252,0.140032,0.173999,0.208445,0.226545,0.239669,0.247638,0.249905
