SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2017-Jul-24 18:59:01
Date and Time Ended,2017-Jul-24 19:01:18
Scan Name,MSP_A_FPGA-TX1-01--RX18-01-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,8167
Horizontal Opening,39
Horizontal Percentage,60.00
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250669,0.250593,0.250363,0.249296,0.250057,0.244826,0.229915,0.194813,0.142047,0.0897838,0.0401996,0.0145525,0.00409743,0.000732433,0.000143816,1.25887e-05,7.62951e-07,9.53689e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-07,7.62951e-07,1.48775e-05,8.1445e-05,0.000426871,0.00143416,0.00372797,0.00699607,0.0139929,0.0238309,0.035749,0.0501554,0.0700041,0.0912134,0.124421,0.155591,0.180996,0.206292,0.228632,0.238621,0.245633,0.249448,0.250363
126,0.249676,0.250593,0.249448,0.249372,0.248691,0.243878,0.229207,0.191042,0.14032,0.0901097,0.0416169,0.0134284,0.00388857,0.000675593,0.000123217,1.04906e-05,1.19211e-06,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.13251e-07,1.43053e-06,1.14443e-05,7.76303e-05,0.000383764,0.00132162,0.00340181,0.00634756,0.01323,0.0226915,0.0338158,0.0479393,0.067926,0.0895678,0.121686,0.150974,0.178123,0.203474,0.226608,0.237928,0.246224,0.248691,0.249828
125,0.250286,0.250593,0.250057,0.249752,0.2496,0.244753,0.22825,0.191578,0.136123,0.0884461,0.0394808,0.013099,0.00390631,0.000663577,0.00011902,9.91836e-06,1.33516e-06,2.98028e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,8.34478e-08,1.33516e-06,9.72763e-06,7.32433e-05,0.000332265,0.00125792,0.00318837,0.00615435,0.01279,0.0223036,0.0338857,0.0482528,0.0677462,0.0895287,0.118328,0.145298,0.179057,0.202819,0.225175,0.237928,0.245633,0.247938,0.249905
124,0.249448,0.249981,0.249448,0.248389,0.249448,0.243806,0.227489,0.190819,0.133418,0.084978,0.0358931,0.0123167,0.00360342,0.000667201,0.000113107,9.15541e-06,1.2398e-06,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,1.40669e-06,9.15541e-06,6.67582e-05,0.000296597,0.00121691,0.00299439,0.00594415,0.0118683,0.0216219,0.0330105,0.0458569,0.0646761,0.0889261,0.116263,0.142965,0.174592,0.201671,0.224251,0.236213,0.245266,0.248842,0.249372
123,0.250057,0.249905,0.250134,0.249524,0.249069,0.244024,0.226295,0.190686,0.12854,0.0819597,0.0352021,0.0119491,0.00357595,0.000637064,9.57504e-05,7.24804e-06,3.81476e-07,5.3645e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.17239e-08,1.59743e-06,8.77394e-06,4.71122e-05,0.00023022,0.00111543,0.00249828,0.00564202,0.0115738,0.0208545,0.0313889,0.0464181,0.0642349,0.0848371,0.115688,0.14402,0.174518,0.201671,0.225299,0.236077,0.244826,0.248842,0.249905
122,0.250746,0.249828,0.250669,0.249145,0.248465,0.242794,0.223334,0.185715,0.127085,0.0786924,0.0344356,0.0107464,0.00303388,0.000643931,9.61318e-05,6.67582e-06,4.35121e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,5.3645e-08,1.19211e-06,7.0573e-06,4.88289e-05,0.000223354,0.00104734,0.00233253,0.00538472,0.0108042,0.0201666,0.0303706,0.0438819,0.0620174,0.0857878,0.109517,0.140008,0.170345,0.19888,0.220449,0.23635,0.244242,0.247713,0.249981
121,0.249981,0.249296,0.249296,0.249524,0.249296,0.244024,0.227048,0.182773,0.127699,0.0787529,0.0350875,0.0106947,0.0030066,0.000531777,9.21263e-05,6.86656e-06,3.15909e-07,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,7.86793e-07,6.67582e-06,3.58587e-05,0.000194934,0.00102693,0.00233349,0.00524033,0.0105135,0.0183942,0.0294884,0.0447864,0.0602344,0.0832085,0.107533,0.14299,0.168557,0.195045,0.221942,0.235196,0.24468,0.24854,0.248691
120,0.2509,0.25021,0.250363,0.2496,0.247788,0.24301,0.224435,0.1831,0.124138,0.073615,0.0311076,0.00962959,0.00273938,0.0004757,6.23713e-05,6.86656e-06,7.80833e-07,2.98028e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,4.05318e-07,4.95918e-06,3.16625e-05,0.000184253,0.000856985,0.00204223,0.00463645,0.0097961,0.0174158,0.0277794,0.0415388,0.0583218,0.0816168,0.105715,0.140512,0.16476,0.195884,0.220627,0.232856,0.243878,0.248993,0.249752
119,0.250516,0.250593,0.249372,0.25021,0.248013,0.242507,0.222666,0.178433,0.120115,0.0727197,0.0309478,0.00940051,0.00258755,0.000461204,5.34066e-05,6.48508e-06,3.81476e-07,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.98028e-08,2.86107e-07,4.88766e-06,3.5668e-05,0.000163844,0.000797665,0.0020182,0.00448367,0.00966068,0.0172301,0.0281701,0.0409532,0.056151,0.0783836,0.103237,0.137934,0.166063,0.194212,0.218917,0.233653,0.24301,0.248239,0.249296
118,0.250669,0.249448,0.249752,0.250363,0.247938,0.240442,0.220924,0.175377,0.117699,0.0697834,0.029627,0.00892863,0.00248856,0.000408942,4.67308e-05,3.43328e-06,3.03988e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,6.07977e-07,3.71939e-06,2.86107e-05,0.000137903,0.00073415,0.00181239,0.00403124,0.00929446,0.0162618,0.0279997,0.0386172,0.0553655,0.0764595,0.101309,0.134935,0.161194,0.189759,0.216144,0.23246,0.243227,0.248615,0.248389
