SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2017-Jul-24 22:11:38
Date and Time Ended,2017-Jul-24 22:14:00
Scan Name,MSP_A_FPGA-IC39-25--IC4-25-TRP_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,8798
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.2496,0.249372,0.249524,0.25021,0.249448,0.250823,0.244534,0.244753,0.249905,0.249752,0.216373,0.103042,0.0668998,0.042434,0.0169604,0.00213416,0.0803519,0.0128259,6.23713e-05,5.18151e-05,7.15267e-08,7.62951e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.34066e-06,0.000144579,0.000744831,0.0093719,0.0453894,0.0848987,0.0918578,0.135605,0.169639,0.13003,0.204797,0.245266,0.247489,0.250057,0.25021
126,0.250057,0.250439,0.250363,0.247339,0.248918,0.249676,0.24301,0.243588,0.250134,0.249676,0.20531,0.101209,0.0637103,0.0382084,0.0144437,0.0018307,0.0814626,0.0160477,2.28885e-05,0.00262911,1.12058e-06,7.15267e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.0729e-07,1.0282e-05,4.22007e-06,0.000135615,0.001528,0.00635958,0.0413376,0.0820829,0.0912744,0.132298,0.167147,0.127858,0.205156,0.24615,0.248842,0.248691,0.249981
125,0.249905,0.250286,0.24922,0.248314,0.250593,0.24922,0.243588,0.242363,0.25021,0.24922,0.204235,0.0993436,0.0625048,0.0409287,0.0147211,0.0018019,0.0820172,0.0231933,3.26162e-05,0.00506722,0.000556102,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,6.55661e-08,7.90966e-06,8.5832e-07,0.000117304,0.000727283,0.00494984,0.0436365,0.080589,0.0915498,0.131957,0.165526,0.128339,0.19888,0.246076,0.248615,0.249448,0.249828
124,0.249981,0.25021,0.250439,0.249372,0.250363,0.248993,0.242148,0.244534,0.249372,0.2496,0.192117,0.0974759,0.0593614,0.0369636,0.014323,0.00140745,0.0706683,0.0241584,3.31884e-05,0.00443591,5.82704e-05,1.78817e-08,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,7.09902e-06,7.15267e-07,0.00017834,0.000318151,0.00302682,0.0383964,0.0776923,0.0871754,0.13318,0.162247,0.124572,0.202418,0.245192,0.248389,0.24854,0.250134
123,0.249448,0.250134,0.249752,0.250363,0.249296,0.249752,0.24222,0.241363,0.249828,0.248013,0.186646,0.0950003,0.0601503,0.0306456,0.010415,0.00123178,0.0652012,0.0180208,0.00019379,0.00383802,1.25768e-05,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,5.02475e-06,7.62951e-07,0.000101091,0.0010935,0.00549058,0.0419043,0.0731417,0.0870272,0.134514,0.159655,0.124914,0.200634,0.24468,0.248766,0.249676,0.25021
122,0.248842,0.249296,0.249448,0.250286,0.250057,0.250516,0.24002,0.241292,0.249448,0.249524,0.179489,0.0913762,0.0561934,0.0286109,0.00774243,0.000933089,0.0558753,0.0112789,0.000480087,0.000501089,2.58688e-06,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,2.71801e-06,2.38422e-07,0.000102045,0.0004757,0.00396048,0.0386336,0.0716136,0.082223,0.134161,0.158727,0.123894,0.199364,0.243227,0.248239,0.249145,0.249981
121,0.250057,0.248615,0.2496,0.248993,0.2496,0.249372,0.24115,0.243661,0.249828,0.2496,0.180041,0.0906883,0.0553281,0.032501,0.00690795,0.000914397,0.0517916,0.0141364,3.43328e-06,0.000563347,2.92663e-06,5.3645e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.24117e-06,9.53689e-08,0.000171092,0.000680743,0.00333314,0.0373155,0.0682542,0.0803204,0.130965,0.157536,0.122798,0.200781,0.244242,0.247638,0.249828,0.249905
120,0.250286,0.2509,0.249905,0.249905,0.24922,0.249296,0.24009,0.24009,0.249752,0.249752,0.17549,0.088849,0.0499565,0.0288751,0.00615129,0.000642405,0.0506046,0.0149881,6.19898e-05,0.000258879,2.13984e-06,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.99679e-06,8.43419e-06,0.000291638,0.000681697,0.00557851,0.0307849,0.0683682,0.0790035,0.129557,0.155769,0.121415,0.201473,0.242794,0.246892,0.249448,0.249524
119,0.250057,0.248615,0.249828,0.249752,0.249676,0.250516,0.238274,0.240796,0.2496,0.248918,0.177505,0.0891196,0.0511704,0.0256734,0.00562562,0.000586709,0.0547,0.00988689,5.92479e-05,0.000125541,3.6121e-06,5.60292e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.56763e-06,2.75735e-05,0.000404173,0.000479896,0.00202487,0.0259829,0.0648245,0.0804703,0.12848,0.155149,0.119572,0.20449,0.241791,0.248239,0.249524,0.249372
118,0.249752,0.249905,0.250286,0.249752,0.249676,0.249676,0.235534,0.242291,0.2496,0.248918,0.181116,0.0817389,0.0476106,0.0244782,0.00488861,0.000568399,0.0588793,0.00587301,3.3999e-05,0.000259654,5.66253e-07,1.96698e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.23383e-06,2.39674e-05,0.00026379,0.000320249,0.00204051,0.0206824,0.0614222,0.0918475,0.126009,0.154244,0.118158,0.198495,0.243516,0.247938,0.250439,0.250439
