2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
125,0.250439,0.249524,0.250439,0.250286,0.249752,0.249752,0.249676,0.249905,0.249752,0.249981,0.248918,0.249069,0.248239,0.243588,0.231605,0.208233,0.170062,0.124781,0.0769985,0.0400639,0.014821,0.00393931,0.00100233,9.80E-05,6.87E-06,1.79E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.19E-08,2.62E-07,3.62E-06,3.38E-05,0.000257115,0.00163863,0.00494221,0.0152555,0.0371648,0.0714948,0.112356,0.160185,0.200781,0.228059,0.242363,0.247414,0.249296,0.249981,0.248314,0.248993,0.250057,0.249752
124,0.249069,0.249828,0.250286,0.249905,0.248766,0.249296,0.250593,0.249828,0.249524,0.250516,0.250057,0.250134,0.247788,0.242578,0.229336,0.205053,0.162055,0.115737,0.0707049,0.0363357,0.0128986,0.00336042,0.000713359,6.85E-05,2.86E-06,7.15E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.19E-08,1.61E-07,2.24E-06,2.46E-05,0.000197986,0.00114881,0.00428264,0.012849,0.0341485,0.068431,0.105213,0.154156,0.196825,0.226295,0.241221,0.24719,0.249828,0.250516,0.249752,0.249828,0.250057,0.249905
123,0.250516,0.249981,0.249752,0.249069,0.249448,0.250746,0.249372,0.250439,0.250669,0.25021,0.249828,0.249524,0.248088,0.243154,0.229336,0.203778,0.161927,0.116411,0.0690598,0.0366396,0.0123716,0.0032845,0.000712978,6.07E-05,3.19E-06,7.15E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.43E-07,1.72E-06,2.42E-05,0.00017586,0.000975624,0.00422217,0.0127081,0.0327675,0.0650924,0.105743,0.154418,0.197395,0.223699,0.240513,0.246892,0.25021,0.249676,0.250057,0.250134,0.249828,0.250286
122,0.249905,0.249905,0.25021,0.250746,0.248918,0.248389,0.249828,0.249296,0.249524,0.249524,0.249905,0.249752,0.248163,0.241577,0.225299,0.19917,0.15784,0.107139,0.0645996,0.0328529,0.0105737,0.00287709,0.000638209,4.60E-05,2.22E-06,6.56E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,8.34E-08,1.55E-06,1.77E-05,0.000144388,0.000731479,0.00359293,0.011401,0.0293237,0.0625764,0.100514,0.149024,0.193341,0.221582,0.238344,0.246966,0.249372,0.249448,0.250134,0.249296,0.251285,0.249828
121,0.249828,0.250439,0.249905,0.25021,0.25021,0.249676,0.250823,0.2496,0.250516,0.249524,0.249676,0.248993,0.247563,0.242077,0.22462,0.197967,0.155532,0.10636,0.0651286,0.0313277,0.0110855,0.00265068,0.000537881,5.07E-05,2.36E-06,4.17E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,6.56E-08,1.19E-06,1.22E-05,0.000119211,0.000806439,0.00313725,0.0113687,0.0282449,0.0601283,0.101864,0.145066,0.192524,0.221044,0.238274,0.245486,0.248918,0.249524,0.250134,0.249828,0.249905,0.249372
120,0.250439,0.250516,0.249676,0.250977,0.249752,0.249069,0.250516,0.249981,0.25021,0.249448,0.249981,0.249828,0.247414,0.240301,0.222424,0.193114,0.149979,0.104715,0.0596337,0.0284984,0.00974098,0.00225185,0.000386816,2.78E-05,1.31E-06,4.77E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,4.77E-08,7.87E-07,9.35E-06,9.96E-05,0.000624666,0.0025845,0.0096046,0.0253273,0.0537984,0.0933547,0.141142,0.186306,0.217349,0.237377,0.245339,0.248615,0.249296,0.249145,0.250134,0.249448,0.249905
119,0.249524,0.2496,0.249296,0.250057,0.249448,0.249676,0.249828,0.250057,0.25021,0.24922,0.25021,0.249828,0.246818,0.240301,0.222908,0.194074,0.145427,0.101259,0.0575272,0.0280967,0.00960727,0.00229629,0.000407797,3.07E-05,1.29E-06,2.98E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,2.98E-08,7.15E-07,8.01E-06,9.42E-05,0.000580415,0.00240024,0.00913996,0.0240584,0.0516056,0.0926264,0.138306,0.185925,0.217464,0.236554,0.24468,0.249372,0.249296,0.250134,0.250363,0.249905,0.250134
118,0.25021,0.249372,0.249448,0.250593,0.249676,0.250516,0.249905,0.250286,0.25021,0.250593,0.249752,0.248842,0.247041,0.239039,0.219857,0.18989,0.144707,0.0974295,0.0529738,0.0253909,0.00785763,0.00177939,0.000339132,2.12E-05,6.68E-07,1.79E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.19E-08,2.86E-07,5.72E-06,6.62E-05,0.00049115,0.00203384,0.00819409,0.0218806,0.0484554,0.0870088,0.132662,0.179568,0.21501,0.23352,0.244826,0.248615,0.250286,0.250057,0.249752,0.249828,0.25021
117,0.250057,0.249905,0.249676,0.249448,0.249752,0.250669,0.2496,0.249372,0.249828,0.250286,0.25021,0.249448,0.247041,0.236554,0.216316,0.187029,0.141703,0.0921471,0.0515537,0.0236931,0.00755226,0.00162375,0.000267605,1.32E-05,4.29E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.79E-08,3.16E-07,4.58E-06,4.62E-05,0.000312238,0.00170748,0.00695792,0.0185597,0.0444824,0.0804071,0.127958,0.173336,0.210751,0.231148,0.244461,0.248842,0.249752,0.2496,0.250134,0.250057,0.249905
116,0.249981,0.249752,0.250363,0.249448,0.250134,0.25021,0.250439,0.2496,0.250363,0.250593,0.24922,0.248993,0.245781,0.236691,0.213164,0.183798,0.134007,0.0886663,0.0487554,0.0216167,0.00662451,0.00137655,0.000212863,1.11E-05,3.93E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.73E-07,3.05E-06,3.45E-05,0.000290875,0.00133288,0.00566835,0.0169072,0.0414527,0.0793863,0.123483,0.167935,0.207968,0.230044,0.243661,0.247265,0.249905,0.249296,0.249828,0.2496,0.250057
