SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2017-Jul-26 14:16:30
Date and Time Ended,2017-Jul-26 14:17:05
Scan Name,MSP_C_FPGA-TX4-07--RX1-07-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,10349
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.243806,0.231409,0.214559,0.19131,0.159748,0.130569,0.0927312,0.0645741,0.0426705,0.0256493,0.012227,0.00572042,0.00214303,0.000658522,0.000125792,8.77394e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,5.17853e-05,0.000675689,0.00389858,0.0148055,0.0399526,0.0678472,0.102578,0.13927,0.171092,0.212887,0.233121,0.245413,0.249905,0.253618,0.263235
126,0.241791,0.229079,0.208233,0.182447,0.158696,0.12289,0.090578,0.0640491,0.0408287,0.0224718,0.0111324,0.00491922,0.00184596,0.000495632,9.52735e-05,5.91287e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,3.39513e-05,0.000395304,0.00346742,0.0148355,0.0409062,0.0650975,0.0992714,0.136942,0.174518,0.212776,0.231148,0.245119,0.250057,0.253461,0.262897
125,0.242363,0.22592,0.207705,0.182204,0.159127,0.128038,0.0894505,0.0627057,0.0385536,0.0218894,0.0110905,0.00488375,0.0015547,0.000465877,9.04097e-05,4.95918e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,3.52865e-05,0.00050679,0.00360399,0.0124648,0.0378063,0.0688162,0.102629,0.133028,0.17145,0.210913,0.230757,0.243661,0.25021,0.254406,0.263066
124,0.23897,0.227932,0.206553,0.183592,0.151983,0.113713,0.0845919,0.0583218,0.0344139,0.0210253,0.00938402,0.00389734,0.00152581,0.000309854,6.12268e-05,4.48234e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.60357e-05,0.000336461,0.003023,0.011885,0.0329573,0.0662344,0.102143,0.13805,0.180836,0.206553,0.233254,0.24468,0.248993,0.25696,0.265625
123,0.241506,0.22592,0.206137,0.180438,0.149705,0.115346,0.0825794,0.0586223,0.0339827,0.0188172,0.0090823,0.00350967,0.00115291,0.000315862,5.10224e-05,4.00549e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.12673e-05,0.000413138,0.00283436,0.0126955,0.0303246,0.0662559,0.100514,0.136123,0.174073,0.20887,0.231017,0.243516,0.249448,0.255358,0.267359
122,0.237859,0.225423,0.203677,0.173704,0.142915,0.114508,0.0783012,0.0541934,0.0327832,0.0163471,0.00759548,0.00277848,0.000977722,0.000185206,3.72892e-05,1.90738e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.28885e-05,0.000251202,0.00230831,0.0116967,0.0300135,0.0658299,0.0981063,0.13061,0.170664,0.206137,0.229336,0.241648,0.250977,0.255676,0.267184
121,0.237721,0.221642,0.201176,0.170238,0.142319,0.10592,0.0790874,0.0520317,0.0314009,0.0164179,0.00726282,0.00260328,0.000819123,0.00020304,3.78614e-05,1.90738e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.18257e-05,0.000304704,0.00276665,0.010149,0.0313193,0.064019,0.0992714,0.129618,0.165626,0.202569,0.231933,0.242507,0.250823,0.257283,0.271434
120,0.235263,0.223212,0.200585,0.168696,0.137957,0.105159,0.0722642,0.0496778,0.0282634,0.0153348,0.00645517,0.0021684,0.000676452,0.000146105,2.27932e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.31609e-05,0.000189975,0.00216764,0.0112433,0.033587,0.0605102,0.0945944,0.134381,0.161384,0.198928,0.22998,0.24265,0.250516,0.259401,0.272699
119,0.23392,0.219151,0.199025,0.170949,0.135269,0.105051,0.073194,0.0469448,0.0275117,0.014223,0.00605306,0.00210346,0.00060626,0.000141909,2.11719e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.3434e-06,0.000210384,0.00217241,0.00989787,0.0307688,0.0593958,0.0953653,0.131196,0.165159,0.197585,0.228059,0.243371,0.250363,0.257931,0.269292
118,0.235128,0.215917,0.194304,0.163185,0.132555,0.102475,0.0697656,0.0429975,0.0247863,0.0127695,0.0054366,0.00158055,0.000531872,9.43198e-05,1.30655e-05,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.11582e-05,0.000161746,0.00204433,0.00871458,0.0277578,0.0578196,0.0893724,0.130071,0.157779,0.19412,0.227805,0.242077,0.251748,0.258256,0.274895
