SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 01:08:27
Date and Time Ended,2018-Jan-24 01:09:10
Scan Name,MSP_A_FPGA-TX2-02--RX10-02-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,17974
Horizontal Opening,83
Horizontal Percentage,64.34
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.209404,0.194489,0.186179,0.171737,0.159004,0.147336,0.132726,0.115704,0.102655,0.0851369,0.0721751,0.057673,0.0463919,0.0374263,0.0280794,0.0210534,0.0155715,0.0107754,0.00725291,0.004409,0.00274166,0.00155699,0.000894846,0.000430495,0.000210098,0.00010071,3.81476e-05,1.44007e-05,5.72213e-06,2.28885e-06,1.90738e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.81476e-07,1.2398e-06,2.86107e-06,8.67857e-06,2.11719e-05,5.20714e-05,0.000117876,0.000230316,0.000464637,0.000969425,0.00178264,0.00321651,0.00567855,0.00901494,0.0142656,0.0208487,0.029642,0.0422044,0.0558486,0.0729723,0.0911018,0.111819,0.135224,0.154156,0.17716,0.195045,0.207284,0.216716,0.232856,0.237583,0.24222,0.246298,0.25021,0.251285,0.253933,0.257606,0.261554,0.26701,0.271975,0.283064
126,0.211349,0.200095,0.185337,0.175867,0.159066,0.142072,0.128238,0.113713,0.0993436,0.0826294,0.0713454,0.0561549,0.045249,0.0356634,0.0273135,0.0206043,0.0145421,0.00987877,0.00664192,0.00417859,0.00257372,0.00139067,0.000810636,0.000408656,0.000181106,8.12543e-05,3.40467e-05,1.36378e-05,4.2916e-06,1.71664e-06,3.81476e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.2398e-06,2.38422e-06,5.72213e-06,1.82155e-05,3.94827e-05,0.000100614,0.000204757,0.000428397,0.000859751,0.0016598,0.00289893,0.00527743,0.00859516,0.0137171,0.0202348,0.0282478,0.0402707,0.0537736,0.0702562,0.0889648,0.106971,0.132042,0.148727,0.169254,0.188579,0.207916,0.216946,0.228059,0.237998,0.240796,0.24615,0.248842,0.251903,0.254564,0.257931,0.261387,0.268059,0.274343,0.282089
125,0.207705,0.198832,0.186094,0.171594,0.155798,0.144427,0.125565,0.110611,0.0996578,0.0840537,0.0704859,0.0556513,0.0445986,0.0349811,0.0266316,0.0199132,0.0140209,0.00965363,0.00651628,0.00408942,0.0023991,0.00142157,0.00074712,0.000378519,0.000169184,8.06821e-05,3.3093e-05,1.10628e-05,4.76844e-06,1.43053e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.33516e-06,2.09812e-06,6.58045e-06,1.69757e-05,3.45235e-05,8.96468e-05,0.00019379,0.000402743,0.000810731,0.00156348,0.00289769,0.00503138,0.00822362,0.013264,0.0198283,0.0276249,0.0392933,0.0513082,0.0702442,0.0862303,0.108935,0.127401,0.152379,0.168835,0.186688,0.204797,0.216259,0.230238,0.235263,0.243661,0.246002,0.249296,0.251439,0.254406,0.256638,0.262224,0.266316,0.272699,0.280736
124,0.208551,0.194952,0.182285,0.169815,0.155444,0.141239,0.128158,0.110611,0.0968994,0.0815274,0.067836,0.0534439,0.0435831,0.0331843,0.0260208,0.0192126,0.0135251,0.00899613,0.00605478,0.00381733,0.00227026,0.0013056,0.000699149,0.000343042,0.000162604,6.99054e-05,2.64172e-05,9.15541e-06,4.48234e-06,1.04906e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,7.62951e-07,1.90738e-06,4.38697e-06,1.56405e-05,2.88968e-05,8.44015e-05,0.000168708,0.000351816,0.000744736,0.00141098,0.00268292,0.00475824,0.0078967,0.0124497,0.0184643,0.0268745,0.0379429,0.0507866,0.0682884,0.0839676,0.105593,0.129659,0.149541,0.166773,0.188579,0.201473,0.216946,0.225052,0.234187,0.241363,0.245413,0.248993,0.252058,0.25504,0.25696,0.26256,0.268586,0.277503,0.28326
123,0.20697,0.197015,0.182936,0.168905,0.155621,0.143465,0.126692,0.106085,0.0951216,0.0805019,0.0665249,0.0527623,0.0422479,0.033341,0.0249752,0.0186391,0.0128391,0.00867949,0.00604038,0.00361696,0.00215639,0.00121309,0.000635824,0.000334554,0.000140574,6.57092e-05,2.64172e-05,1.06813e-05,4.00549e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,2.28885e-06,6.00824e-06,1.41146e-05,2.96597e-05,7.24804e-05,0.000155547,0.000350004,0.000714694,0.00138161,0.0025844,0.00459831,0.00757988,0.012355,0.0183617,0.0265367,0.036656,0.0505984,0.065619,0.0834033,0.103172,0.122194,0.144478,0.166977,0.183592,0.199025,0.214335,0.225423,0.234994,0.240937,0.245413,0.249448,0.252524,0.253776,0.258745,0.26256,0.26947,0.277315,0.285232
122,0.204797,0.194397,0.178862,0.169674,0.148835,0.133679,0.124534,0.10686,0.0955655,0.0761327,0.0652739,0.0493486,0.0411942,0.0311881,0.0237198,0.0173903,0.0127045,0.00819073,0.00548161,0.0034514,0.00198157,0.00107986,0.000589761,0.000299363,0.000137617,5.87472e-05,2.1458e-05,8.5832e-06,2.7657e-06,8.5832e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,1.81201e-06,4.76844e-06,1.02045e-05,2.39376e-05,5.95102e-05,0.000132658,0.000314431,0.000636969,0.00125744,0.00242905,0.00433576,0.00730335,0.0118025,0.0176397,0.0250915,0.0354811,0.0489769,0.0625143,0.0793018,0.102784,0.122964,0.141385,0.163772,0.183839,0.203071,0.215917,0.22617,0.236077,0.241648,0.246002,0.248993,0.252213,0.255199,0.258582,0.263404,0.26947,0.277127,0.28663
121,0.204388,0.192298,0.179646,0.167249,0.152265,0.135179,0.121325,0.10524,0.0917138,0.0761468,0.0643813,0.0503248,0.0402351,0.0308778,0.0233653,0.0172912,0.0121635,0.00791669,0.00529927,0.00325742,0.0019234,0.00102054,0.000552663,0.000278763,0.000128748,5.49325e-05,1.98367e-05,6.58045e-06,3.81476e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.86107e-07,1.62127e-06,3.71939e-06,9.91836e-06,1.90738e-05,5.61723e-05,0.000129892,0.000291447,0.000601205,0.00120203,0.00229238,0.00414578,0.00677507,0.0114681,0.0168765,0.0243733,0.034726,0.0477828,0.0627538,0.0790416,0.100194,0.11893,0.142666,0.162537,0.185673,0.198447,0.21603,0.227552,0.23567,0.240937,0.24615,0.247938,0.252524,0.255199,0.258419,0.264766,0.269292,0.277503,0.288041
120,0.20187,0.190953,0.178784,0.162408,0.149651,0.135358,0.120611,0.103354,0.0915089,0.0743364,0.062995,0.0485761,0.0385355,0.0296764,0.0220378,0.0161518,0.0114134,0.0074697,0.00492428,0.00305571,0.00184195,0.000981823,0.000499065,0.000240139,0.000114443,5.03548e-05,2.02182e-05,6.67582e-06,2.00275e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.90738e-07,6.67582e-07,2.57496e-06,8.77394e-06,1.84062e-05,4.50141e-05,0.00010853,0.000259117,0.000573072,0.00107767,0.00216125,0.00376478,0.00638952,0.0108149,0.0157888,0.0238122,0.0338088,0.0454095,0.0616672,0.0767748,0.0996821,0.119799,0.140851,0.160688,0.173851,0.19551,0.213553,0.223334,0.232856,0.239809,0.244972,0.248842,0.252524,0.256638,0.259237,0.266836,0.269825,0.279205,0.28683
119,0.203879,0.189539,0.179097,0.163315,0.151477,0.133505,0.117971,0.106804,0.0903582,0.0755012,0.0599172,0.0488542,0.0369903,0.0288426,0.0216716,0.0159208,0.0110124,0.00726294,0.00471952,0.00290885,0.0017917,0.000897803,0.000471504,0.000239757,0.000103571,4.58724e-05,1.51637e-05,5.91287e-06,2.09812e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.72213e-07,2.19348e-06,6.00824e-06,1.87877e-05,4.71122e-05,0.000109483,0.000237469,0.000535496,0.0010214,0.00209783,0.00361582,0.00630396,0.0104238,0.0159195,0.0231096,0.0330211,0.0440945,0.0602787,0.074976,0.0984127,0.117937,0.139365,0.158696,0.177852,0.198735,0.212445,0.223212,0.234994,0.239809,0.244534,0.248239,0.251748,0.256477,0.259565,0.266143,0.270359,0.28016,0.289261
118,0.203575,0.191668,0.174444,0.160877,0.14644,0.132512,0.116461,0.101485,0.0881226,0.0719595,0.0600665,0.045294,0.0364797,0.0284519,0.0209404,0.0151231,0.0103768,0.00692256,0.00446221,0.00272536,0.00163624,0.000826658,0.000436408,0.000207523,9.32708e-05,4.30114e-05,1.57359e-05,5.72213e-06,1.71664e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,1.90738e-06,6.19898e-06,1.48775e-05,4.50141e-05,9.34615e-05,0.000200561,0.000490673,0.000950351,0.00194324,0.00351596,0.00592689,0.00977201,0.0152816,0.02252,0.032027,0.0440187,0.0569751,0.0758086,0.0961939,0.112991,0.135313,0.159437,0.174518,0.190864,0.205826,0.223822,0.231671,0.239529,0.245266,0.248691,0.252368,0.257606,0.25973,0.266316,0.271794,0.280928,0.287636
