SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-23 23:46:35
Date and Time Ended,2018-Jan-23 23:47:16
Scan Name,TRP_FPGA-TX5-00--RX5-00-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,16281
Horizontal Opening,77
Horizontal Percentage,58.91
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.215917,0.202468,0.191488,0.180279,0.160499,0.148673,0.130485,0.108358,0.0946381,0.0767317,0.062629,0.0473245,0.035047,0.0268305,0.0184885,0.0123614,0.00787377,0.00474203,0.00282263,0.00146839,0.000719081,0.000326257,0.000122835,4.19623e-05,1.38285e-05,4.48234e-06,1.62127e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,1.14443e-06,4.76844e-06,8.20172e-06,2.12673e-05,4.35836e-05,7.11452e-05,0.000169184,0.000286679,0.000475414,0.000733387,0.000902571,0.00134766,0.0022776,0.00306058,0.00408122,0.00544203,0.00684836,0.00933164,0.0114948,0.0135153,0.0167379,0.0201959,0.0237583,0.0274932,0.0311881,0.0357318,0.0404297,0.044123,0.0482727,0.0520582,0.055343,0.0597075,0.0654303,0.0693991,0.0763598,0.0833016,0.0925008,0.103773,0.113023,0.126809,0.139081,0.157718,0.169745,0.185841,0.198159,0.210372,0.223822,0.231933,0.240513,0.244534,0.247788,0.249145,0.250516,0.252213,0.254248,0.258093,0.264084,0.268586,0.27545
126,0.214897,0.203071,0.184419,0.175565,0.162537,0.146231,0.12744,0.109429,0.094073,0.0751135,0.0613073,0.0463184,0.033963,0.0250057,0.0178387,0.0119026,0.00736865,0.00430629,0.00249981,0.00133536,0.000649939,0.000305371,0.000110342,3.748e-05,1.09674e-05,3.24254e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,1.2398e-06,2.47959e-06,6.58045e-06,1.9646e-05,4.08179e-05,7.8584e-05,0.000144961,0.000253681,0.000430018,0.000619135,0.000896944,0.00119831,0.00209602,0.00280575,0.00370279,0.00509966,0.00639501,0.00877732,0.0104584,0.0127882,0.0159282,0.0198552,0.0225175,0.0269914,0.0301927,0.0351885,0.0390796,0.0429074,0.0462766,0.0516447,0.0554855,0.0597075,0.063959,0.0678585,0.0755429,0.0827964,0.090478,0.100687,0.111031,0.121867,0.140561,0.15042,0.171163,0.186348,0.196354,0.208021,0.219857,0.230497,0.239109,0.243227,0.247339,0.24854,0.250669,0.251748,0.254564,0.258419,0.263913,0.269292,0.277691
125,0.212776,0.202169,0.188666,0.172315,0.15981,0.142616,0.12352,0.104222,0.090578,0.074648,0.0595513,0.0436016,0.0330531,0.0247519,0.0167605,0.0112581,0.00684116,0.00407959,0.00228962,0.00123445,0.000605592,0.000258831,9.81346e-05,3.40467e-05,1.40192e-05,3.52865e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,8.5832e-07,3.81476e-06,6.10361e-06,1.56405e-05,4.11994e-05,7.12406e-05,0.000129702,0.000225357,0.000415522,0.000588617,0.00090877,0.00113613,0.00194886,0.00265049,0.00351043,0.00487201,0.00600557,0.00827479,0.0104403,0.0123711,0.0155526,0.0189829,0.0217857,0.0264664,0.0299214,0.0343619,0.0388425,0.0427908,0.0465553,0.0509255,0.054979,0.0586558,0.0641293,0.0680841,0.0736547,0.0815599,0.089139,0.0986973,0.111972,0.12054,0.138751,0.151589,0.168835,0.178706,0.193936,0.212776,0.221044,0.231933,0.237171,0.243806,0.245707,0.248691,0.250823,0.251593,0.256799,0.258256,0.266489,0.270895,0.278257
124,0.211131,0.198735,0.185925,0.171594,0.156393,0.138096,0.131238,0.103905,0.0897248,0.0712461,0.0566285,0.0414317,0.0305941,0.0231854,0.0157919,0.0103852,0.00640581,0.00383612,0.00205377,0.00104009,0.000514324,0.000213436,7.71534e-05,2.71801e-05,9.15541e-06,2.47959e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.5832e-07,2.19348e-06,4.2916e-06,1.35424e-05,2.5845e-05,6.11315e-05,0.000102712,0.000203326,0.000342565,0.000516041,0.000804627,0.00100662,0.00180114,0.00238832,0.00323329,0.0045243,0.00578431,0.00767144,0.00957308,0.0114929,0.0150106,0.0184935,0.0205454,0.0254691,0.0292358,0.0331012,0.038123,0.042001,0.0460943,0.0498775,0.0534997,0.058049,0.0626099,0.0676009,0.0734434,0.0804229,0.0885225,0.0980828,0.108935,0.12008,0.135179,0.150697,0.16766,0.179097,0.193023,0.207494,0.213775,0.23246,0.238413,0.242077,0.246298,0.249296,0.250669,0.253305,0.25696,0.261554,0.263744,0.271434,0.280352
123,0.212335,0.197395,0.185925,0.171235,0.157415,0.138376,0.118688,0.104408,0.0869257,0.0704859,0.0556892,0.0414905,0.0307665,0.0223871,0.0150597,0.00986878,0.00616016,0.00367113,0.00195926,0.0010502,0.000476749,0.000201801,7.50553e-05,2.49866e-05,8.20172e-06,2.09812e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,6.67582e-07,1.43053e-06,2.67033e-06,1.13489e-05,2.60357e-05,5.08316e-05,9.65133e-05,0.000173762,0.000333505,0.000485523,0.000753986,0.00106832,0.00171063,0.00230926,0.00324168,0.00432202,0.00557536,0.00749293,0.00915007,0.0116737,0.0145483,0.0178573,0.020297,0.0244694,0.0282342,0.033439,0.0373342,0.0414947,0.0456983,0.0491061,0.053416,0.0578604,0.0616023,0.0669052,0.0714823,0.0802024,0.0886951,0.0964431,0.110851,0.121253,0.134779,0.150034,0.164893,0.180996,0.192027,0.206866,0.220212,0.229722,0.236077,0.240937,0.24615,0.248691,0.25021,0.25409,0.255836,0.26006,0.263744,0.269647,0.278825
122,0.208021,0.195978,0.18261,0.169184,0.156872,0.13509,0.119555,0.101159,0.0806446,0.0676232,0.0543444,0.0400463,0.0295992,0.020888,0.014226,0.00922197,0.00577296,0.00326858,0.00172732,0.0009308,0.000403315,0.000178435,5.82704e-05,1.79294e-05,7.62951e-06,1.81201e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,1.71664e-06,2.7657e-06,8.29709e-06,2.09812e-05,4.3679e-05,7.99191e-05,0.00015135,0.000295357,0.00042277,0.000661097,0.00100671,0.00152476,0.00210842,0.00295462,0.00406348,0.00517758,0.00711026,0.0085075,0.0111257,0.0136241,0.0171228,0.0197642,0.0243588,0.0281488,0.0322515,0.0368904,0.040015,0.0447155,0.0490708,0.0528372,0.0565737,0.0618909,0.0659784,0.0713329,0.076919,0.0867967,0.0960586,0.105811,0.115379,0.133462,0.149269,0.164232,0.177007,0.195884,0.208445,0.212997,0.230109,0.234321,0.242938,0.245266,0.249145,0.250977,0.254406,0.255517,0.258582,0.268586,0.27545,0.281701
121,0.20781,0.195697,0.179646,0.169885,0.151814,0.134293,0.115509,0.0996094,0.0821817,0.0659996,0.0518736,0.0382512,0.0272772,0.0203041,0.0135068,0.00895424,0.00533608,0.00308804,0.00169881,0.00085565,0.000365644,0.000159171,5.30251e-05,1.81201e-05,6.00824e-06,2.67033e-06,2.86107e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,8.5832e-07,2.00275e-06,6.38972e-06,1.97414e-05,3.78614e-05,7.4197e-05,0.000146201,0.000264172,0.000392348,0.000613127,0.000886549,0.00140412,0.00197299,0.00280795,0.00387875,0.00496338,0.00690028,0.00816688,0.0105702,0.013136,0.0164238,0.0196854,0.0233121,0.0269594,0.0321376,0.0363566,0.0400033,0.0444341,0.0485819,0.0522508,0.0571978,0.0606267,0.0663095,0.0713329,0.0785716,0.0844872,0.0940946,0.105294,0.118107,0.129906,0.147442,0.165092,0.171163,0.191399,0.20177,0.213553,0.22592,0.235534,0.240372,0.247638,0.247638,0.25021,0.253776,0.257768,0.262729,0.266489,0.272699,0.283652
120,0.205619,0.196636,0.177775,0.1641,0.148619,0.132383,0.114444,0.0928573,0.0777513,0.0647579,0.048738,0.0364537,0.0264938,0.019256,0.0124762,0.008331,0.00492504,0.00290599,0.00149062,0.000756085,0.000352483,0.000136378,5.23575e-05,1.53544e-05,5.72213e-06,1.2398e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.2398e-06,1.43053e-06,7.53414e-06,1.36378e-05,3.20439e-05,5.85565e-05,0.000119783,0.000229458,0.000340753,0.000549897,0.000823987,0.00128185,0.00180047,0.00258536,0.00360618,0.00462491,0.00633066,0.00786863,0.00991152,0.0128074,0.0159549,0.0189302,0.0228747,0.02631,0.0311739,0.0344254,0.0390685,0.043597,0.0476438,0.0517491,0.0562243,0.0607345,0.0653885,0.0705953,0.0770492,0.084348,0.0953431,0.105132,0.116098,0.130402,0.144325,0.157718,0.173483,0.19042,0.20697,0.216259,0.229593,0.236623,0.238413,0.244972,0.248842,0.251748,0.253305,0.257121,0.26256,0.266316,0.273976,0.283456
119,0.206033,0.192117,0.17793,0.164562,0.146703,0.131914,0.114093,0.0928784,0.076531,0.0618628,0.048895,0.0357786,0.0263913,0.0187029,0.0121914,0.0078064,0.00486343,0.00274681,0.00144942,0.000743114,0.000395399,0.000120642,4.64446e-05,1.38285e-05,5.34066e-06,1.71664e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,6.67582e-07,1.14443e-06,4.48234e-06,1.19211e-05,2.77523e-05,5.79843e-05,0.00010729,0.000197127,0.000312619,0.000511082,0.000752747,0.00124256,0.00171426,0.0024012,0.00346504,0.0045367,0.00617294,0.00756518,0.009712,0.0124067,0.0157047,0.0183666,0.0225113,0.0256349,0.0308685,0.034726,0.0397587,0.0426216,0.0477883,0.0512056,0.0551048,0.0600577,0.0638494,0.0697656,0.0757105,0.0848371,0.0941162,0.105674,0.116362,0.126574,0.144274,0.15888,0.172315,0.190597,0.205516,0.215576,0.229851,0.235534,0.240654,0.245413,0.247788,0.249752,0.254406,0.257931,0.262224,0.269647,0.277691,0.285232
118,0.202169,0.189979,0.17793,0.161703,0.14686,0.127243,0.110224,0.0927732,0.0775599,0.0611791,0.0475057,0.03348,0.0252851,0.0176443,0.0115427,0.0074269,0.0044235,0.0025371,0.00128367,0.000633536,0.000262455,9.93744e-05,3.39513e-05,1.21118e-05,3.52865e-06,6.67582e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,4.76844e-07,1.33516e-06,4.57771e-06,1.12535e-05,2.56542e-05,4.70169e-05,8.81209e-05,0.000165274,0.000280766,0.000437552,0.000692092,0.00110399,0.00157254,0.00219224,0.00312171,0.0040693,0.0055931,0.00690424,0.00909885,0.011685,0.0149776,0.0175242,0.0218008,0.0248993,0.0296528,0.0335156,0.0380381,0.0422218,0.0468536,0.0505734,0.0554704,0.0589428,0.063989,0.0694109,0.0761468,0.0835565,0.0917343,0.10136,0.115184,0.126966,0.140851,0.159004,0.168211,0.191578,0.199316,0.212005,0.22592,0.232592,0.238274,0.24556,0.248389,0.252058,0.254564,0.258582,0.260722,0.269115,0.276566,0.284046
